"Count","Value"
"12","Рє СѓСЂРѕРЅСѓ РћРіРѕРЅСЊ"
"5","Рє СѓСЂРѕРЅСѓ Р”СЂРѕР±СЏС‰РёР№"
"4","Рє СѓСЂРѕРЅСѓ РҐРѕР»РѕРґ"
"1","Рє СѓСЂРѕРЅСѓ РџСЃРёС…РёС‡РµСЃРєРёР№"
"1","Рє СѓСЂРѕРЅСѓ Р—РІСѓРє"
"1","Рє СЃРѕР»РЅРµС‡РЅРѕРјСѓ СЃРІРµС‚Сѓ. РќР°С…РѕРґСЏСЃСЊ РїРѕРґ СЃРѕР»РЅРµС‡РЅС‹Рј СЃРІРµС‚РѕРј"
"1","Рє СѓСЂРѕРЅСѓ РР·Р»СѓС‡РµРЅРёРµ"
"1","Рє СѓСЂРѕРЅСѓ РљРѕР»СЋС‰РёР№ РѕС‚ РѕСЂСѓР¶РёСЏ СЃСѓС‰РµСЃС‚РІ РїРѕРґ РІРѕР·РґРµР№СЃС‚РІРёРµРј Р·Р°РєР»РёРЅР°РЅРёСЏ Р‘Р»Р°РіРѕСЃР»РѕРІРµРЅРёРµ"
"1","Рє СѓСЂРѕРЅСѓ РЇРґ"
"1","Рє РѕС‡Р°СЂРѕРІР°РЅРёСЋ. РЁРѕРіРіРѕС‚ СЃРѕРІРµСЂС€Р°РµС‚ СЃ РџРѕРјРµС…РѕР№ СЃРїР°СЃР±СЂРѕСЃРєР° РЅР° РёР·Р±РµР¶Р°РЅРёРµ РёР»Рё РѕРєРѕРЅС‡Р°РЅРёРµ СЃРѕСЃС‚РѕСЏРЅРёСЏ РћС‡Р°СЂРѕРІР°РЅРЅС‹Р№."
"1","РўРµРЅСЊ СЃРѕРІРµСЂС€Р°РµС‚ СЃ РџРѕРјРµС…РѕР№ РўРµСЃС‚С‹ Рљ20."
