"Count","RussianName","FullId"
"24","РљСЂСѓРі Р·РµРјР»Рё","phb2024:druid_zemlya"
"12","РќРµР±РѕР¶РёС‚РµР»СЊ","phb2024:warlock_celestial"
"11","РђР»С…РёРјРёРє","phb2024:artificer_alhimik"
"11","РђСЂС…РёС„РµСЏ","phb2024:warlock_archfey"
"11","РђСЂС‚РёР»Р»РµСЂРёСЃС‚","phb2024:artificer_artillerist"
"11","Р‘РѕРµРІРѕР№ РєСѓР·РЅРµС†","phb2024:artificer_boevoy_kuznets"
"11","Р”РѕРјРµРЅ СѓРїРѕРєРѕРµРЅРёСЏ","phb2024:cleric_upokoeniya"
"11","РђР±РµСЂСЂР°РЅС‚РЅРѕРµ С‡Р°СЂРѕРґРµР№СЃС‚РІРѕ","phb2024:sorcerer_aberrant"
"10","РСЃС‡Р°РґРёРµ","phb2024:warlock_fiend"
"10","РљР»СЏС‚РІР° СЃР»Р°РІС‹","phb2024:paladin_slavy"
"10","РљР»СЏС‚РІР° РІРѕР·РјРµР·РґРёСЏ","phb2024:paladin_vozmezdiya"
"10","РќРµР¶РёС‚СЊ","phb2024:warlock_undying"
"10","Р”РѕРјРµРЅ СЃРІРµС‚Р°","phb2024:cleric_svet"
"10","Р‘СЂРѕРЅРЅРёРє","phb2024:artificer_bronnik"
"10","РљР»СЏС‚РІР° РґСЂРµРІРЅРёС…","phb2024:paladin_drevnikh"
"10","Р”РѕРјРµРЅ РѕР±РјР°РЅР°","phb2024:cleric_obman"
"10","Р”РѕРјРµРЅ Р¶РёР·РЅРё","phb2024:cleric_zhizn"
"10","РљСЂСѓРі РјРѕСЂСЏ","phb2024:druid_more"
"10","Р”СЂР°РєРѕРЅСЊРµ С‡Р°СЂРѕРґРµР№СЃС‚РІРѕ","phb2024:sorcerer_draconic"
"10","Р—Р°РІРѕРґРЅРѕРµ С‡Р°СЂРѕРґРµР№СЃС‚РІРѕ","phb2024:sorcerer_clockwork"
"10","Р”РѕРјРµРЅ РІРѕР№РЅС‹","phb2024:cleric_voyna"
"10","РљР»СЏС‚РІР° РїСЂРµРґР°РЅРЅРѕСЃС‚Рё","phb2024:paladin_predannosti"
"10","Р§Р°СЂРѕРґРµР№СЃС‚РІРѕ С‡Р°СЂРѕРїР»Р°РјРµРЅРё","phb2024:sorcerer_spellfire"
"9","РўРµРЅРµРІРѕРµ С‡Р°СЂРѕРґРµР№СЃС‚РІРѕ","phb2024:sorcerer_shadow"
"5","Р—РёРјРЅРёР№ С…РѕРґРѕРє","phb2024:ranger_zimniy_khodok"
"5","РЎС‚СЂР°Р¶ РїСѓСЃС‚РѕС€РµР№","phb2024:ranger_strazh_pustoshci"
"5","РЎСѓРјСЂР°С‡РЅС‹Р№ РѕС…РѕС‚РЅРёРє","phb2024:ranger_sumrachnyy_okhotnik"
"5","РЎС‚СЂР°РЅРЅРёРє С„РµР№","phb2024:ranger_strannik_fey"
"3","РќР°СЃР»РµРґРЅРёРє С‚СЂРѕРёС†С‹","phb2024:rogue_naslednik_troicy"
"3","РџСѓС‚СЊ РґРёРєРѕРіРѕ СЃРµСЂРґС†Р°","phb2024:barbarian_dikoe_serdce"
"3","РљРѕР»Р»РµРіРёСЏ РѕС‡Р°СЂРѕРІР°РЅРёСЏ","phb2024:bard_ocharovaniya"
"2","РљСЂСѓРі Р»СѓРЅС‹","phb2024:druid_luna"
"2","РљСЂСѓРі Р·РІС‘Р·Рґ","phb2024:druid_zvezdy"
"2","Р’РѕРёРЅ С‚РµРЅРё","phb2024:monk_teni"
"2","РћРіСЂР°РґРёС‚РµР»СЊ","phb2024:wizard_ograditel"
"2","РР»Р»СЋР·РёРѕРЅРёСЃС‚","phb2024:wizard_illyuzionist"
"1","РњРёСЃС‚РёС‡РµСЃРєРёР№ Р»РѕРІРєР°С‡","phb2024:rogue_misticheskiy_lovkach"
"1","РљР»СЏС‚РІР° Р±Р»Р°РіРѕСЂРѕРґРЅС‹С… РіРµРЅРёРµРІ","phb2024:paladin_blagorodnykh_geniev"
"1","Р’РѕРёРЅ СЃС‚РёС…РёР№","phb2024:monk_stikhiy"
"1","РљРѕР»Р»РµРіРёСЏ Р»СѓРЅС‹","phb2024:bard_luny"
"1","РџСЃРё-РІРѕРёРЅ","phb2024:fighter_psi_warrior"
"1","РљРѕР»Р»РµРіРёСЏ РґСѓС…РѕРІ","phb2024:bard_dukhov"
